route,target_mhz,strategy,wns_ns,lut,ff,dsp,bram,status,notes
speed_v6_official_sample,100,Performance_Explore,-0.827,1725,564,0,0,ok,route=speed_v6_official_sample target_mhz=100 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v6_official_sample,110,Performance_Explore,-1.818,1743,562,0,0,ok,route=speed_v6_official_sample target_mhz=110 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v6_official_sample,120,Performance_Explore,-2.415,1743,552,0,0,ok,route=speed_v6_official_sample target_mhz=120 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v6_official_sample,130,Performance_Explore,-3.047,1757,560,0,0,ok,route=speed_v6_official_sample target_mhz=130 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v6_official_sample,95,Performance_Explore,-0.162,1704,549,0,0,ok,route=speed_v6_official_sample target_mhz=95 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7_q7_narrow_mul,100,Performance_Explore,0.760,952,549,0,0,ok,route=speed_v7_q7_narrow_mul target_mhz=100 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7_q7_narrow_mul,110,Performance_Explore,0.417,962,549,0,0,ok,route=speed_v7_q7_narrow_mul target_mhz=110 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7_q7_narrow_mul,120,Performance_Explore,0.146,981,549,0,0,ok,route=speed_v7_q7_narrow_mul target_mhz=120 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7_q7_narrow_mul,130,Performance_Explore,0.027,986,549,0,0,ok,route=speed_v7_q7_narrow_mul target_mhz=130 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7_q7_narrow_mul,95,Performance_Explore,1.111,952,549,0,0,ok,route=speed_v7_q7_narrow_mul target_mhz=95 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7b_c91_shift_add,100,Performance_Explore,1.108,868,549,0,0,ok,route=speed_v7b_c91_shift_add target_mhz=100 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7b_c91_shift_add,110,Performance_Explore,0.485,868,549,0,0,ok,route=speed_v7b_c91_shift_add target_mhz=110 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7b_c91_shift_add,120,Performance_Explore,0.525,873,549,0,0,ok,route=speed_v7b_c91_shift_add target_mhz=120 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7b_c91_shift_add,130,Performance_Explore,0.178,889,549,0,0,ok,route=speed_v7b_c91_shift_add target_mhz=130 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7b_c91_shift_add,95,Performance_Explore,1.340,868,549,0,0,ok,route=speed_v7b_c91_shift_add target_mhz=95 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7c_c91_shift_sub,100,Performance_Explore,0.464,843,549,0,0,ok,route=speed_v7c_c91_shift_sub target_mhz=100 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7c_c91_shift_sub,110,Performance_Explore,0.512,851,549,0,0,ok,route=speed_v7c_c91_shift_sub target_mhz=110 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7c_c91_shift_sub,120,Performance_Explore,0.518,853,549,0,0,ok,route=speed_v7c_c91_shift_sub target_mhz=120 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7c_c91_shift_sub,130,Performance_Explore,0.120,855,549,0,0,ok,route=speed_v7c_c91_shift_sub target_mhz=130 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
speed_v7c_c91_shift_sub,95,Performance_Explore,1.307,843,549,0,0,ok,route=speed_v7c_c91_shift_sub target_mhz=95 strategy=Performance_Explore part=xc7k160tffg676-2 flatten_hierarchy=none max_dsp=0
