core,instruction_count,opcode,count
core0,110,ADD,18
core0,110,HALT,1
core0,110,LDR,32
core0,110,MOVI,4
core0,110,MUL,4
core0,110,STR,32
core0,110,SUB,19
core1,118,ADD,4
core1,118,HALT,1
core1,118,LDR,8
core1,118,MOVI,2
core1,118,NOP,91
core1,118,STR,8
core1,118,SUB,4
core2,123,ADD,2
core2,123,HALT,1
core2,123,LDR,4
core2,123,MOVI,2
core2,123,NOP,108
core2,123,STR,4
core2,123,SUB,2
core3,107,ADD,2
core3,107,HALT,1
core3,107,LDR,4
core3,107,MOVI,2
core3,107,NOP,92
core3,107,STR,4
core3,107,SUB,2
ALL,458,TOTAL,458
