cycle,core_id,input_addr,input_data
8,0,128,fff3
8,1,128,fff3
8,2,128,fff3
8,3,128,fff3
8,4,128,fff3
8,5,128,fff3
8,6,128,fff3
8,7,128,fff3
9,0,136,001b
9,1,136,001b
9,2,136,001b
9,3,136,001b
9,4,136,001b
9,5,136,001b
9,6,136,001b
9,7,136,001b
10,0,132,fff7
10,1,132,fff7
10,2,132,fff7
10,3,132,fff7
10,4,132,fff7
10,5,132,fff7
10,6,132,fff7
10,7,132,fff7
11,0,140,0000
11,1,140,0000
11,2,140,0000
11,3,140,0000
11,4,140,0000
11,5,140,0000
11,6,140,0000
11,7,140,0000
16,0,129,ffe3
16,1,129,ffe3
16,2,129,ffe3
16,3,129,ffe3
16,4,129,ffe3
16,5,129,ffe3
16,6,129,ffe3
16,7,129,ffe3
17,0,137,fff7
17,1,137,fff7
17,2,137,fff7
17,3,137,fff7
17,4,137,fff7
17,5,137,fff7
17,6,137,fff7
17,7,137,fff7
18,0,133,001b
18,1,133,001b
18,2,133,001b
18,3,133,001b
18,4,133,001b
18,5,133,001b
18,6,133,001b
18,7,133,001b
19,0,141,0012
19,1,141,0012
19,2,141,0012
19,3,141,0012
19,4,141,0012
19,5,141,0012
19,6,141,0012
19,7,141,0012
24,0,130,ffe3
24,2,130,ffe3
24,4,130,ffe3
24,6,130,ffe3
25,0,138,ffee
25,2,138,ffee
25,4,138,ffee
25,6,138,ffee
26,0,134,0006
26,2,134,0006
26,4,134,0006
26,6,134,0006
27,0,142,ffeb
27,2,142,ffeb
27,4,142,ffeb
27,6,142,ffeb
32,0,131,0000
32,2,131,0000
32,4,131,0000
32,6,131,0000
33,0,139,ffe9
33,2,139,ffe9
33,4,139,ffe9
33,6,139,ffe9
34,0,135,0014
34,2,135,0014
34,4,135,0014
34,6,135,0014
35,0,143,ffec
35,2,143,ffec
35,4,143,ffec
35,6,143,ffec
36,1,130,ffe3
36,3,130,ffe3
36,5,130,ffe3
36,7,130,ffe3
37,1,138,ffee
37,3,138,ffee
37,5,138,ffee
37,7,138,ffee
38,1,134,0006
38,3,134,0006
38,5,134,0006
38,7,134,0006
39,1,142,ffeb
39,3,142,ffeb
39,5,142,ffeb
39,7,142,ffeb
44,1,131,0000
44,3,131,0000
44,5,131,0000
44,7,131,0000
45,1,139,ffe9
45,3,139,ffe9
45,5,139,ffe9
45,7,139,ffe9
46,1,135,0014
46,3,135,0014
46,5,135,0014
46,7,135,0014
47,1,143,ffec
47,3,143,ffec
47,5,143,ffec
47,7,143,ffec
