core,instruction_count,opcode,count
core0,41,ADD,16
core0,41,HALT,1
core0,41,LDR,16
core0,41,MOVI,4
core0,41,MOVR,2
core0,41,STR,2
core1,49,ADD,7
core1,49,HALT,1
core1,49,LDR,16
core1,49,MOVI,4
core1,49,MOVR,2
core1,49,MUL,4
core1,49,STR,2
core1,49,SUB,13
core2,41,ADD,12
core2,41,HALT,1
core2,41,LDR,16
core2,41,MOVI,4
core2,41,MOVR,2
core2,41,STR,2
core2,41,SUB,4
core3,49,ADD,7
core3,49,HALT,1
core3,49,LDR,16
core3,49,MOVI,4
core3,49,MOVR,2
core3,49,MUL,4
core3,49,STR,2
core3,49,SUB,13
core4,41,ADD,12
core4,41,HALT,1
core4,41,LDR,16
core4,41,MOVI,4
core4,41,MOVR,2
core4,41,STR,2
core4,41,SUB,4
core5,49,ADD,7
core5,49,HALT,1
core5,49,LDR,16
core5,49,MOVI,4
core5,49,MOVR,2
core5,49,MUL,4
core5,49,STR,2
core5,49,SUB,13
core6,41,ADD,12
core6,41,HALT,1
core6,41,LDR,16
core6,41,MOVI,4
core6,41,MOVR,2
core6,41,STR,2
core6,41,SUB,4
core7,49,ADD,7
core7,49,HALT,1
core7,49,LDR,16
core7,49,MOVI,4
core7,49,MOVR,2
core7,49,MUL,4
core7,49,STR,2
core7,49,SUB,13
ALL,360,TOTAL,360
