cycle,core_id,input_addr,input_data
6,0,128,fff3
6,2,128,fff3
6,4,128,fff3
6,6,128,fff3
7,0,136,001b
7,2,136,001b
7,4,136,001b
7,6,136,001b
8,0,132,fff7
8,2,132,fff7
8,4,132,fff7
8,6,132,fff7
9,0,140,0000
9,1,128,fff3
9,2,140,0000
9,3,128,fff3
9,4,140,0000
9,5,128,fff3
9,6,140,0000
9,7,128,fff3
10,1,136,001b
10,3,136,001b
10,5,136,001b
10,7,136,001b
11,1,132,fff7
11,3,132,fff7
11,5,132,fff7
11,7,132,fff7
12,1,140,0000
12,3,140,0000
12,5,140,0000
12,7,140,0000
14,0,129,ffe3
14,2,129,ffe3
14,4,129,ffe3
14,6,129,ffe3
15,0,137,fff7
15,2,137,fff7
15,4,137,fff7
15,6,137,fff7
16,0,133,001b
16,2,133,001b
16,4,133,001b
16,6,133,001b
17,0,141,0012
17,1,129,ffe3
17,2,141,0012
17,3,129,ffe3
17,4,141,0012
17,5,129,ffe3
17,6,141,0012
17,7,129,ffe3
18,1,137,fff7
18,3,137,fff7
18,5,137,fff7
18,7,137,fff7
19,1,133,001b
19,3,133,001b
19,5,133,001b
19,7,133,001b
20,1,141,0012
20,3,141,0012
20,5,141,0012
20,7,141,0012
22,0,130,ffe3
22,2,130,ffe3
22,4,130,ffe3
22,6,130,ffe3
23,0,138,ffee
23,2,138,ffee
23,4,138,ffee
23,6,138,ffee
24,0,134,0006
24,2,134,0006
24,4,134,0006
24,6,134,0006
25,0,142,ffeb
25,2,142,ffeb
25,4,142,ffeb
25,6,142,ffeb
27,1,130,ffe3
27,3,130,ffe3
27,5,130,ffe3
27,7,130,ffe3
28,1,138,ffee
28,3,138,ffee
28,5,138,ffee
28,7,138,ffee
29,1,134,0006
29,3,134,0006
29,5,134,0006
29,7,134,0006
30,0,131,0000
30,1,142,ffeb
30,2,131,0000
30,3,142,ffeb
30,4,131,0000
30,5,142,ffeb
30,6,131,0000
30,7,142,ffeb
31,0,139,ffe9
31,2,139,ffe9
31,4,139,ffe9
31,6,139,ffe9
32,0,135,0014
32,2,135,0014
32,4,135,0014
32,6,135,0014
33,0,143,ffec
33,2,143,ffec
33,4,143,ffec
33,6,143,ffec
35,1,131,0000
35,3,131,0000
35,5,131,0000
35,7,131,0000
36,1,139,ffe9
36,3,139,ffe9
36,5,139,ffe9
36,7,139,ffe9
37,1,135,0014
37,3,135,0014
37,5,135,0014
37,7,135,0014
38,1,143,ffec
38,3,143,ffec
38,5,143,ffec
38,7,143,ffec
