cycle,core_id,input_addr,input_data
6,0,128,fff3
6,2,128,fff3
6,4,128,fff3
6,6,128,fff3
7,0,136,001b
7,2,136,001b
7,4,136,001b
7,6,136,001b
8,0,132,fff7
8,1,128,fff3
8,2,132,fff7
8,3,128,fff3
8,4,132,fff7
8,5,128,fff3
8,6,132,fff7
8,7,128,fff3
9,0,140,0000
9,1,136,001b
9,2,140,0000
9,3,136,001b
9,4,140,0000
9,5,136,001b
9,6,140,0000
9,7,136,001b
10,1,132,fff7
10,3,132,fff7
10,5,132,fff7
10,7,132,fff7
11,1,140,0000
11,3,140,0000
11,5,140,0000
11,7,140,0000
14,0,129,ffe3
14,2,129,ffe3
14,4,129,ffe3
14,6,129,ffe3
15,0,137,fff7
15,2,137,fff7
15,4,137,fff7
15,6,137,fff7
16,0,133,001b
16,1,129,ffe3
16,2,133,001b
16,3,129,ffe3
16,4,133,001b
16,5,129,ffe3
16,6,133,001b
16,7,129,ffe3
17,0,141,0012
17,1,137,fff7
17,2,141,0012
17,3,137,fff7
17,4,141,0012
17,5,137,fff7
17,6,141,0012
17,7,137,fff7
18,1,133,001b
18,3,133,001b
18,5,133,001b
18,7,133,001b
19,1,141,0012
19,3,141,0012
19,5,141,0012
19,7,141,0012
22,0,130,ffe3
22,2,130,ffe3
22,4,130,ffe3
22,6,130,ffe3
23,0,138,ffee
23,2,138,ffee
23,4,138,ffee
23,6,138,ffee
24,0,134,0006
24,1,130,ffe3
24,2,134,0006
24,4,134,0006
24,6,134,0006
24,7,130,ffe3
25,0,142,ffeb
25,1,138,ffee
25,2,142,ffeb
25,3,130,ffe3
25,4,142,ffeb
25,5,130,ffe3
25,6,142,ffeb
25,7,138,ffee
26,1,134,0006
26,3,138,ffee
26,5,138,ffee
26,7,134,0006
27,1,142,ffeb
27,3,134,0006
27,5,134,0006
27,7,142,ffeb
28,3,142,ffeb
28,5,142,ffeb
30,0,131,0000
30,2,131,0000
30,4,131,0000
30,6,131,0000
31,0,139,ffe9
31,2,139,ffe9
31,4,139,ffe9
31,6,139,ffe9
32,0,135,0014
32,1,131,0000
32,2,135,0014
32,4,135,0014
32,6,135,0014
32,7,131,0000
33,0,143,ffec
33,1,139,ffe9
33,2,143,ffec
33,3,131,0000
33,4,143,ffec
33,5,131,0000
33,6,143,ffec
33,7,139,ffe9
34,1,135,0014
34,3,139,ffe9
34,5,139,ffe9
34,7,135,0014
35,1,143,ffec
35,3,135,0014
35,5,135,0014
35,7,143,ffec
36,3,143,ffec
36,5,143,ffec
