core,instruction_count,opcode,count
core0,39,ADD,16
core0,39,HALT,1
core0,39,LDR,16
core0,39,MOVI,4
core0,39,STR,2
core1,47,ADD,8
core1,47,HALT,1
core1,47,LDR,16
core1,47,MOVI,6
core1,47,MUL,2
core1,47,STR,2
core1,47,SUB,12
core2,39,ADD,12
core2,39,HALT,1
core2,39,LDR,16
core2,39,MOVI,4
core2,39,STR,2
core2,39,SUB,4
core3,48,ADD,9
core3,48,HALT,1
core3,48,LDR,16
core3,48,MOVI,6
core3,48,MUL,2
core3,48,STR,2
core3,48,SUB,12
core4,39,ADD,12
core4,39,HALT,1
core4,39,LDR,16
core4,39,MOVI,4
core4,39,STR,2
core4,39,SUB,4
core5,48,ADD,9
core5,48,HALT,1
core5,48,LDR,16
core5,48,MOVI,6
core5,48,MUL,2
core5,48,STR,2
core5,48,SUB,12
core6,39,ADD,12
core6,39,HALT,1
core6,39,LDR,16
core6,39,MOVI,4
core6,39,STR,2
core6,39,SUB,4
core7,47,ADD,8
core7,47,HALT,1
core7,47,LDR,16
core7,47,MOVI,6
core7,47,MUL,2
core7,47,STR,2
core7,47,SUB,12
ALL,346,TOTAL,346
