cycle,core_id,input_addr,input_data
6,0,128,fff3
6,2,128,fff3
6,4,128,fff3
6,6,128,fff3
7,0,136,001b
7,1,128,fff3
7,2,136,001b
7,3,128,fff3
7,4,136,001b
7,5,128,fff3
7,6,136,001b
7,7,128,fff3
8,0,132,fff7
8,1,136,001b
8,2,132,fff7
8,3,136,001b
8,4,132,fff7
8,5,136,001b
8,6,132,fff7
8,7,136,001b
9,0,140,0000
9,1,132,fff7
9,2,140,0000
9,3,132,fff7
9,4,140,0000
9,5,132,fff7
9,6,140,0000
9,7,132,fff7
10,1,140,0000
10,3,140,0000
10,5,140,0000
10,7,140,0000
14,0,129,ffe3
14,2,129,ffe3
14,4,129,ffe3
14,6,129,ffe3
15,0,137,fff7
15,1,129,ffe3
15,2,137,fff7
15,3,129,ffe3
15,4,137,fff7
15,5,129,ffe3
15,6,137,fff7
15,7,129,ffe3
16,0,133,001b
16,1,137,fff7
16,2,133,001b
16,3,137,fff7
16,4,133,001b
16,5,137,fff7
16,6,133,001b
16,7,137,fff7
17,0,141,0012
17,1,133,001b
17,2,141,0012
17,3,133,001b
17,4,141,0012
17,5,133,001b
17,6,141,0012
17,7,133,001b
18,1,141,0012
18,3,141,0012
18,5,141,0012
18,7,141,0012
22,0,130,ffe3
22,2,130,ffe3
22,4,130,ffe3
22,6,130,ffe3
23,0,138,ffee
23,1,130,ffe3
23,2,138,ffee
23,3,130,ffe3
23,4,138,ffee
23,5,130,ffe3
23,6,138,ffee
23,7,130,ffe3
24,0,134,0006
24,1,138,ffee
24,2,134,0006
24,3,138,ffee
24,4,134,0006
24,5,138,ffee
24,6,134,0006
24,7,138,ffee
25,0,142,ffeb
25,1,134,0006
25,2,142,ffeb
25,3,134,0006
25,4,142,ffeb
25,5,134,0006
25,6,142,ffeb
25,7,134,0006
26,1,142,ffeb
26,3,142,ffeb
26,5,142,ffeb
26,7,142,ffeb
30,0,131,0000
30,2,131,0000
30,4,131,0000
30,6,131,0000
31,0,139,ffe9
31,1,131,0000
31,2,139,ffe9
31,3,131,0000
31,4,139,ffe9
31,5,131,0000
31,6,139,ffe9
31,7,131,0000
32,0,135,0014
32,1,139,ffe9
32,2,135,0014
32,3,139,ffe9
32,4,135,0014
32,5,139,ffe9
32,6,135,0014
32,7,139,ffe9
33,0,143,ffec
33,1,135,0014
33,2,143,ffec
33,3,135,0014
33,4,143,ffec
33,5,135,0014
33,6,143,ffec
33,7,135,0014
34,1,143,ffec
34,3,143,ffec
34,5,143,ffec
34,7,143,ffec
