core,instruction_count,opcode,count
core0,33,ADD,12
core0,33,HALT,1
core0,33,LDR,16
core0,33,MOVI,3
core0,33,STR,1
core1,37,ADD,6
core1,37,HALT,1
core1,37,LDR,16
core1,37,MOVI,3
core1,37,MUL,1
core1,37,STR,1
core1,37,SUB,9
core2,33,ADD,10
core2,33,HALT,1
core2,33,LDR,16
core2,33,MOVI,3
core2,33,STR,1
core2,33,SUB,2
core3,37,ADD,5
core3,37,HALT,1
core3,37,LDR,16
core3,37,MOVI,3
core3,37,MUL,1
core3,37,STR,1
core3,37,SUB,10
core4,33,ADD,10
core4,33,HALT,1
core4,33,LDR,16
core4,33,MOVI,3
core4,33,STR,1
core4,33,SUB,2
core5,37,ADD,4
core5,37,HALT,1
core5,37,LDR,16
core5,37,MOVI,3
core5,37,MUL,1
core5,37,STR,1
core5,37,SUB,11
core6,33,ADD,10
core6,33,HALT,1
core6,33,LDR,16
core6,33,MOVI,3
core6,33,STR,1
core6,33,SUB,2
core7,37,ADD,3
core7,37,HALT,1
core7,37,LDR,16
core7,37,MOVI,3
core7,37,MUL,1
core7,37,STR,1
core7,37,SUB,12
core8,33,ADD,12
core8,33,HALT,1
core8,33,LDR,16
core8,33,MOVI,3
core8,33,STR,1
core9,37,ADD,3
core9,37,HALT,1
core9,37,LDR,16
core9,37,MOVI,3
core9,37,MUL,1
core9,37,STR,1
core9,37,SUB,12
core10,33,ADD,10
core10,33,HALT,1
core10,33,LDR,16
core10,33,MOVI,3
core10,33,STR,1
core10,33,SUB,2
core11,37,ADD,4
core11,37,HALT,1
core11,37,LDR,16
core11,37,MOVI,3
core11,37,MUL,1
core11,37,STR,1
core11,37,SUB,11
core12,33,ADD,10
core12,33,HALT,1
core12,33,LDR,16
core12,33,MOVI,3
core12,33,STR,1
core12,33,SUB,2
core13,37,ADD,5
core13,37,HALT,1
core13,37,LDR,16
core13,37,MOVI,3
core13,37,MUL,1
core13,37,STR,1
core13,37,SUB,10
core14,33,ADD,10
core14,33,HALT,1
core14,33,LDR,16
core14,33,MOVI,3
core14,33,STR,1
core14,33,SUB,2
core15,37,ADD,6
core15,37,HALT,1
core15,37,LDR,16
core15,37,MOVI,3
core15,37,MUL,1
core15,37,STR,1
core15,37,SUB,9
ALL,560,TOTAL,560
